Total Nacional;Comunidades y Ciudades Autónomas;Provincias;País de nacionalidad;Edad (hasta 100 y más);Sexo;Periodo;Total
Total Nacional;01 Andalucía;;Eslovenia;Todas las edades;Total;1 de enero de 2019;128
Total Nacional;01 Andalucía;;Estonia;Todas las edades;Total;1 de enero de 2019;707
Total Nacional;01 Andalucía;;Finlandia;Todas las edades;Total;1 de enero de 2019;6.704
Total Nacional;01 Andalucía;;Francia;Todas las edades;Total;1 de enero de 2019;12.772
Total Nacional;01 Andalucía;;Grecia;Todas las edades;Total;1 de enero de 2019;419
Total Nacional;01 Andalucía;;Hungría;Todas las edades;Total;1 de enero de 2019;1.657
Total Nacional;01 Andalucía;;Irlanda;Todas las edades;Total;1 de enero de 2019;3.834
Total Nacional;01 Andalucía;;Italia;Todas las edades;Total;1 de enero de 2019;20.767
Total Nacional;01 Andalucía;;Letonia;Todas las edades;Total;1 de enero de 2019;560
Total Nacional;01 Andalucía;;Lituania;Todas las edades;Total;1 de enero de 2019;3.870
Total Nacional;01 Andalucía;;Luxemburgo;Todas las edades;Total;1 de enero de 2019;110
Total Nacional;01 Andalucía;;Malta;Todas las edades;Total;1 de enero de 2019;52
Total Nacional;01 Andalucía;;Países Bajos;Todas las edades;Total;1 de enero de 2019;9.610
Total Nacional;01 Andalucía;;Polonia;Todas las edades;Total;1 de enero de 2019;5.771
Total Nacional;01 Andalucía;;Portugal;Todas las edades;Total;1 de enero de 2019;6.951
Total Nacional;01 Andalucía;;República Checa;Todas las edades;Total;1 de enero de 2019;767
Total Nacional;01 Andalucía;;República Eslovaca;Todas las edades;Total;1 de enero de 2019;612
Total Nacional;01 Andalucía;;Rumanía;Todas las edades;Total;1 de enero de 2019;79.798
Total Nacional;01 Andalucía;;Suecia;Todas las edades;Total;1 de enero de 2019;6.623
Total Nacional;01 Andalucía;;Albania;Todas las edades;Total;1 de enero de 2019;242
Total Nacional;01 Andalucía;;Andorra;Todas las edades;Total;1 de enero de 2019;28
Total Nacional;01 Andalucía;;Armenia;Todas las edades;Total;1 de enero de 2019;953
Total Nacional;01 Andalucía;;Belarús;Todas las edades;Total;1 de enero de 2019;826
Total Nacional;01 Andalucía;;Bosnia y Herzegovina;Todas las edades;Total;1 de enero de 2019;94
Total Nacional;01 Andalucía;;Georgia;Todas las edades;Total;1 de enero de 2019;1.328
Total Nacional;01 Andalucía;;Islandia;Todas las edades;Total;1 de enero de 2019;103
Total Nacional;01 Andalucía;;Liechtenstein;Todas las edades;Total;1 de enero de 2019;4
Total Nacional;01 Andalucía;;Macedonia del Norte;Todas las edades;Total;1 de enero de 2019;55
Total Nacional;01 Andalucía;;Moldavia;Todas las edades;Total;1 de enero de 2019;1.032
Total Nacional;01 Andalucía;;Noruega;Todas las edades;Total;1 de enero de 2019;2.780
Total Nacional;01 Andalucía;;Reino Unido;Todas las edades;Total;1 de enero de 2019;77.451
Total Nacional;01 Andalucía;;Rusia;Todas las edades;Total;1 de enero de 2019;13.937
Total Nacional;01 Andalucía;;Serbia;Todas las edades;Total;1 de enero de 2019;376
Total Nacional;01 Andalucía;;Serbia y Montenegro;Todas las edades;Total;1 de enero de 2019;""
Total Nacional;01 Andalucía;;Suiza;Todas las edades;Total;1 de enero de 2019;1.760
Total Nacional;01 Andalucía;;Turquía;Todas las edades;Total;1 de enero de 2019;457
Total Nacional;01 Andalucía;;Ucrania;Todas las edades;Total;1 de enero de 2019;17.306
Total Nacional;01 Andalucía;;Resto de Nacionalidades Europeas;Todas las edades;Total;1 de enero de 2019;44
Total Nacional;01 Andalucía;;De Africa;Todas las edades;Total;1 de enero de 2019;185.935
Total Nacional;01 Andalucía;;Angola;Todas las edades;Total;1 de enero de 2019;89
Total Nacional;01 Andalucía;;Argelia;Todas las edades;Total;1 de enero de 2019;4.715
Total Nacional;01 Andalucía;;Benin;Todas las edades;Total;1 de enero de 2019;55
Total Nacional;01 Andalucía;;Burkina Faso;Todas las edades;Total;1 de enero de 2019;291
Total Nacional;01 Andalucía;;Cabo Verde;Todas las edades;Total;1 de enero de 2019;74
Total Nacional;01 Andalucía;;Camerún;Todas las edades;Total;1 de enero de 2019;631
Total Nacional;01 Andalucía;;Congo;Todas las edades;Total;1 de enero de 2019;115
Total Nacional;01 Andalucía;;Costa de Marfil;Todas las edades;Total;1 de enero de 2019;924
Total Nacional;01 Andalucía;;Egipto;Todas las edades;Total;1 de enero de 2019;451
Total Nacional;01 Andalucía;;Etiopía;Todas las edades;Total;1 de enero de 2019;74
Total Nacional;01 Andalucía;;Gambia;Todas las edades;Total;1 de enero de 2019;1.301
Total Nacional;01 Andalucía;;Ghana;Todas las edades;Total;1 de enero de 2019;2.496
Total Nacional;01 Andalucía;;Guinea;Todas las edades;Total;1 de enero de 2019;1.312
Total Nacional;01 Andalucía;;Guinea Ecuatorial;Todas las edades;Total;1 de enero de 2019;535
Total Nacional;01 Andalucía;;Guinea-Bissau;Todas las edades;Total;1 de enero de 2019;1.620
Total Nacional;01 Andalucía;;Kenia;Todas las edades;Total;1 de enero de 2019;317
Total Nacional;01 Andalucía;;Liberia;Todas las edades;Total;1 de enero de 2019;34
Total Nacional;01 Andalucía;;Mali;Todas las edades;Total;1 de enero de 2019;5.617
Total Nacional;01 Andalucía;;Marruecos;Todas las edades;Total;1 de enero de 2019;145.317
