Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Relacion entre lugar de nacimiento y residencia;Edad (grupos quinquenales);Sexo;Periodo;Total
Total Nacional;09 Cataluña;08 Barcelona;En distinta Comunidad Autónoma;Todas las edades;Total;1 de enero de 2014;1.098.691
Total Nacional;09 Cataluña;08 Barcelona;En distinta Comunidad Autónoma;Todas las edades;Total;1 de enero de 2010;1.177.440
Total Nacional;09 Cataluña;08 Barcelona;En distinta Comunidad Autónoma;Todas las edades;Total;1 de enero de 2006;1.270.468
Total Nacional;09 Cataluña;08 Barcelona;En el extranjero;Todas las edades;Total;1 de enero de 2022;1.202.068
Total Nacional;09 Cataluña;08 Barcelona;En el extranjero;Todas las edades;Total;1 de enero de 2018;999.252
Total Nacional;09 Cataluña;08 Barcelona;En el extranjero;Todas las edades;Total;1 de enero de 2014;907.351
Total Nacional;09 Cataluña;08 Barcelona;En el extranjero;Todas las edades;Total;1 de enero de 2010;913.216
Total Nacional;09 Cataluña;08 Barcelona;En el extranjero;Todas las edades;Total;1 de enero de 2006;719.455
Total Nacional;07 Castilla y León;09 Burgos;En España;Todas las edades;Total;1 de enero de 2022;315.530
Total Nacional;07 Castilla y León;09 Burgos;En España;Todas las edades;Total;1 de enero de 2018;323.815
Total Nacional;07 Castilla y León;09 Burgos;En España;Todas las edades;Total;1 de enero de 2014;331.995
Total Nacional;07 Castilla y León;09 Burgos;En España;Todas las edades;Total;1 de enero de 2010;337.135
Total Nacional;07 Castilla y León;09 Burgos;En España;Todas las edades;Total;1 de enero de 2006;340.188
Total Nacional;07 Castilla y León;09 Burgos;Misma Comunidad Autónoma. Misma Provincia.;Todas las edades;Total;1 de enero de 2022;248.864
Total Nacional;07 Castilla y León;09 Burgos;Misma Comunidad Autónoma. Misma Provincia.;Todas las edades;Total;1 de enero de 2018;257.183
Total Nacional;07 Castilla y León;09 Burgos;Misma Comunidad Autónoma. Misma Provincia.;Todas las edades;Total;1 de enero de 2014;264.197
Total Nacional;07 Castilla y León;09 Burgos;Misma Comunidad Autónoma. Misma Provincia.;Todas las edades;Total;1 de enero de 2010;268.334
Total Nacional;07 Castilla y León;09 Burgos;Misma Comunidad Autónoma. Misma Provincia.;Todas las edades;Total;1 de enero de 2006;271.790
Total Nacional;07 Castilla y León;09 Burgos;Misma Comunidad Autónoma. Distinta Provincia;Todas las edades;Total;1 de enero de 2022;19.988
Total Nacional;07 Castilla y León;09 Burgos;Misma Comunidad Autónoma. Distinta Provincia;Todas las edades;Total;1 de enero de 2018;20.727
Total Nacional;07 Castilla y León;09 Burgos;Misma Comunidad Autónoma. Distinta Provincia;Todas las edades;Total;1 de enero de 2014;21.345
Total Nacional;07 Castilla y León;09 Burgos;Misma Comunidad Autónoma. Distinta Provincia;Todas las edades;Total;1 de enero de 2010;21.913
Total Nacional;07 Castilla y León;09 Burgos;Misma Comunidad Autónoma. Distinta Provincia;Todas las edades;Total;1 de enero de 2006;22.393
Total Nacional;07 Castilla y León;09 Burgos;En distinta Comunidad Autónoma;Todas las edades;Total;1 de enero de 2022;46.678
