Total Nacional;Comunidades y Ciudades Autónomas;Provincias;País de nacionalidad;Edad (hasta 100 y más);Sexo;Periodo;Total
Total Nacional;01 Andalucía;;Canadá;Todas las edades;Total;1 de enero de 2014;599
Total Nacional;01 Andalucía;;Estados Unidos de América;Todas las edades;Total;1 de enero de 2014;4.711
Total Nacional;01 Andalucía;;México;Todas las edades;Total;1 de enero de 2014;2.185
Total Nacional;01 Andalucía;;De Sudamérica;Todas las edades;Total;1 de enero de 2014;88.367
Total Nacional;01 Andalucía;;Argentina;Todas las edades;Total;1 de enero de 2014;14.462
Total Nacional;01 Andalucía;;Bolivia;Todas las edades;Total;1 de enero de 2014;14.596
Total Nacional;01 Andalucía;;Brasil;Todas las edades;Total;1 de enero de 2014;8.279
Total Nacional;01 Andalucía;;Chile;Todas las edades;Total;1 de enero de 2014;2.180
Total Nacional;01 Andalucía;;Colombia;Todas las edades;Total;1 de enero de 2014;14.792
Total Nacional;01 Andalucía;;Ecuador;Todas las edades;Total;1 de enero de 2014;13.039
Total Nacional;01 Andalucía;;Paraguay;Todas las edades;Total;1 de enero de 2014;10.618
Total Nacional;01 Andalucía;;Perú;Todas las edades;Total;1 de enero de 2014;4.365
Total Nacional;01 Andalucía;;Uruguay;Todas las edades;Total;1 de enero de 2014;2.056
Total Nacional;01 Andalucía;;Venezuela;Todas las edades;Total;1 de enero de 2014;3.976
Total Nacional;01 Andalucía;;Resto de Nacionalidades de América del Sur;Todas las edades;Total;1 de enero de 2014;4
Total Nacional;01 Andalucía;;De Asia;Todas las edades;Total;1 de enero de 2014;32.300
Total Nacional;01 Andalucía;;Arabia Saudí;Todas las edades;Total;1 de enero de 2014;67
Total Nacional;01 Andalucía;;Bangladesh;Todas las edades;Total;1 de enero de 2014;564
Total Nacional;01 Andalucía;;China;Todas las edades;Total;1 de enero de 2014;19.496
Total Nacional;01 Andalucía;;Corea;Todas las edades;Total;1 de enero de 2014;170
Total Nacional;01 Andalucía;;Filipinas;Todas las edades;Total;1 de enero de 2014;2.242
Total Nacional;01 Andalucía;;India;Todas las edades;Total;1 de enero de 2014;1.764
Total Nacional;01 Andalucía;;Indonesia;Todas las edades;Total;1 de enero de 2014;124
Total Nacional;01 Andalucía;;Irán;Todas las edades;Total;1 de enero de 2014;588
Total Nacional;01 Andalucía;;Iraq;Todas las edades;Total;1 de enero de 2014;212
Total Nacional;01 Andalucía;;Israel;Todas las edades;Total;1 de enero de 2014;229
Total Nacional;01 Andalucía;;Japón;Todas las edades;Total;1 de enero de 2014;637
Total Nacional;01 Andalucía;;Jordania;Todas las edades;Total;1 de enero de 2014;204
Total Nacional;01 Andalucía;;Kazajstán;Todas las edades;Total;1 de enero de 2014;143
Total Nacional;01 Andalucía;;Líbano;Todas las edades;Total;1 de enero de 2014;205
Total Nacional;01 Andalucía;;Nepal;Todas las edades;Total;1 de enero de 2014;86
Total Nacional;01 Andalucía;;Pakistán;Todas las edades;Total;1 de enero de 2014;4.012
Total Nacional;01 Andalucía;;Siria;Todas las edades;Total;1 de enero de 2014;586
Total Nacional;01 Andalucía;;Tailandia;Todas las edades;Total;1 de enero de 2014;211
Total Nacional;01 Andalucía;;Vietnam;Todas las edades;Total;1 de enero de 2014;77
Total Nacional;01 Andalucía;;Resto de Nacionalidades Asiáticas;Todas las edades;Total;1 de enero de 2014;683
Total Nacional;01 Andalucía;;De Oceanía;Todas las edades;Total;1 de enero de 2014;356
