Sexo;Comunidades y ciudades autónomas de destino;Comunidades y ciudades autónomas de origen;Periodo;Total
Ambos sexos;08 Castilla - La Mancha;11 Extremadura;2021;680
Ambos sexos;08 Castilla - La Mancha;12 Galicia;2021;348
Ambos sexos;08 Castilla - La Mancha;13 Madrid, Comunidad de;2021;22.159
Ambos sexos;08 Castilla - La Mancha;14 Murcia, Región de;2021;881
Ambos sexos;08 Castilla - La Mancha;15 Navarra, Comunidad Foral de;2021;115
Ambos sexos;08 Castilla - La Mancha;16 País Vasco;2021;312
Ambos sexos;08 Castilla - La Mancha;17 Rioja, La;2021;62
Ambos sexos;08 Castilla - La Mancha;18 Ceuta;2021;95
Ambos sexos;08 Castilla - La Mancha;19 Melilla;2021;110
Ambos sexos;09 Cataluña;Total Nacional;2021;35.686
Ambos sexos;09 Cataluña;01 Andalucía;2021;7.110
Ambos sexos;09 Cataluña;02 Aragón;2021;2.768
Ambos sexos;09 Cataluña;03 Asturias, Principado de;2021;590
Ambos sexos;09 Cataluña;04 Balears, Illes;2021;2.948
Ambos sexos;09 Cataluña;05 Canarias;2021;2.021
Ambos sexos;09 Cataluña;06 Cantabria;2021;398
Ambos sexos;09 Cataluña;07 Castilla y León;2021;1.705
Ambos sexos;09 Cataluña;08 Castilla - La Mancha;2021;1.424
Ambos sexos;09 Cataluña;09 Cataluña;2021;""
Ambos sexos;09 Cataluña;10 Comunitat Valenciana;2021;5.178
Ambos sexos;09 Cataluña;11 Extremadura;2021;748
Ambos sexos;09 Cataluña;12 Galicia;2021;1.656
Ambos sexos;09 Cataluña;13 Madrid, Comunidad de;2021;4.892
Ambos sexos;09 Cataluña;14 Murcia, Región de;2021;1.091
Ambos sexos;09 Cataluña;15 Navarra, Comunidad Foral de;2021;596
Ambos sexos;09 Cataluña;16 País Vasco;2021;1.463
Ambos sexos;09 Cataluña;17 Rioja, La;2021;293
Ambos sexos;09 Cataluña;18 Ceuta;2021;230
Ambos sexos;09 Cataluña;19 Melilla;2021;575
Ambos sexos;10 Comunitat Valenciana;Total Nacional;2021;38.873
Ambos sexos;10 Comunitat Valenciana;01 Andalucía;2021;4.635
Ambos sexos;10 Comunitat Valenciana;02 Aragón;2021;1.928
Ambos sexos;10 Comunitat Valenciana;03 Asturias, Principado de;2021;483
Ambos sexos;10 Comunitat Valenciana;04 Balears, Illes;2021;2.375
Ambos sexos;10 Comunitat Valenciana;05 Canarias;2021;1.407
Ambos sexos;10 Comunitat Valenciana;06 Cantabria;2021;307
Ambos sexos;10 Comunitat Valenciana;07 Castilla y León;2021;1.671
Ambos sexos;10 Comunitat Valenciana;08 Castilla - La Mancha;2021;4.027
Ambos sexos;10 Comunitat Valenciana;09 Cataluña;2021;6.736
Ambos sexos;10 Comunitat Valenciana;10 Comunitat Valenciana;2021;""
Ambos sexos;10 Comunitat Valenciana;11 Extremadura;2021;548
Ambos sexos;10 Comunitat Valenciana;12 Galicia;2021;860
Ambos sexos;10 Comunitat Valenciana;13 Madrid, Comunidad de;2021;8.136
Ambos sexos;10 Comunitat Valenciana;14 Murcia, Región de;2021;3.704
Ambos sexos;10 Comunitat Valenciana;15 Navarra, Comunidad Foral de;2021;381
Ambos sexos;10 Comunitat Valenciana;16 País Vasco;2021;996
Ambos sexos;10 Comunitat Valenciana;17 Rioja, La;2021;227
Ambos sexos;10 Comunitat Valenciana;18 Ceuta;2021;190
Ambos sexos;10 Comunitat Valenciana;19 Melilla;2021;262
Ambos sexos;11 Extremadura;Total Nacional;2021;8.989
Ambos sexos;11 Extremadura;01 Andalucía;2021;1.751
Ambos sexos;11 Extremadura;02 Aragón;2021;168
Ambos sexos;11 Extremadura;03 Asturias, Principado de;2021;63
Ambos sexos;11 Extremadura;04 Balears, Illes;2021;393
Ambos sexos;11 Extremadura;05 Canarias;2021;302
Ambos sexos;11 Extremadura;06 Cantabria;2021;53
Ambos sexos;11 Extremadura;07 Castilla y León;2021;656
Ambos sexos;11 Extremadura;08 Castilla - La Mancha;2021;713
Ambos sexos;11 Extremadura;09 Cataluña;2021;1.037
Ambos sexos;11 Extremadura;10 Comunitat Valenciana;2021;396
Ambos sexos;11 Extremadura;11 Extremadura;2021;""
Ambos sexos;11 Extremadura;12 Galicia;2021;122
Ambos sexos;11 Extremadura;13 Madrid, Comunidad de;2021;2.688
Ambos sexos;11 Extremadura;14 Murcia, Región de;2021;113
Ambos sexos;11 Extremadura;15 Navarra, Comunidad Foral de;2021;67
Ambos sexos;11 Extremadura;16 País Vasco;2021;372
Ambos sexos;11 Extremadura;17 Rioja, La;2021;30
Ambos sexos;11 Extremadura;18 Ceuta;2021;29
Ambos sexos;11 Extremadura;19 Melilla;2021;36
Ambos sexos;12 Galicia;Total Nacional;2021;15.971
Ambos sexos;12 Galicia;01 Andalucía;2021;1.453
Ambos sexos;12 Galicia;02 Aragón;2021;281
Ambos sexos;12 Galicia;03 Asturias, Principado de;2021;808
Ambos sexos;12 Galicia;04 Balears, Illes;2021;748
Ambos sexos;12 Galicia;05 Canarias;2021;1.709
Ambos sexos;12 Galicia;06 Cantabria;2021;231
Ambos sexos;12 Galicia;07 Castilla y León;2021;1.569
Ambos sexos;12 Galicia;08 Castilla - La Mancha;2021;492
Ambos sexos;12 Galicia;09 Cataluña;2021;2.378
Ambos sexos;12 Galicia;10 Comunitat Valenciana;2021;816
Ambos sexos;12 Galicia;11 Extremadura;2021;170
Ambos sexos;12 Galicia;12 Galicia;2021;""
Ambos sexos;12 Galicia;13 Madrid, Comunidad de;2021;3.823
Ambos sexos;12 Galicia;14 Murcia, Región de;2021;304
Ambos sexos;12 Galicia;15 Navarra, Comunidad Foral de;2021;164
Ambos sexos;12 Galicia;16 País Vasco;2021;825
Ambos sexos;12 Galicia;17 Rioja, La;2021;100
Ambos sexos;12 Galicia;18 Ceuta;2021;46
Ambos sexos;12 Galicia;19 Melilla;2021;54
Ambos sexos;13 Madrid, Comunidad de;Total Nacional;2021;62.546
Ambos sexos;13 Madrid, Comunidad de;01 Andalucía;2021;9.572
Ambos sexos;13 Madrid, Comunidad de;02 Aragón;2021;1.539
Ambos sexos;13 Madrid, Comunidad de;03 Asturias, Principado de;2021;1.388
Ambos sexos;13 Madrid, Comunidad de;04 Balears, Illes;2021;1.867
Ambos sexos;13 Madrid, Comunidad de;05 Canarias;2021;2.847
Ambos sexos;13 Madrid, Comunidad de;06 Cantabria;2021;902
Ambos sexos;13 Madrid, Comunidad de;07 Castilla y León;2021;7.862
Ambos sexos;13 Madrid, Comunidad de;08 Castilla - La Mancha;2021;15.509
Ambos sexos;13 Madrid, Comunidad de;09 Cataluña;2021;5.049
Ambos sexos;13 Madrid, Comunidad de;10 Comunitat Valenciana;2021;5.233
Ambos sexos;13 Madrid, Comunidad de;11 Extremadura;2021;2.723
Ambos sexos;13 Madrid, Comunidad de;12 Galicia;2021;2.841
Ambos sexos;13 Madrid, Comunidad de;13 Madrid, Comunidad de;2021;""
Ambos sexos;13 Madrid, Comunidad de;14 Murcia, Región de;2021;1.534
Ambos sexos;13 Madrid, Comunidad de;15 Navarra, Comunidad Foral de;2021;683
Ambos sexos;13 Madrid, Comunidad de;16 País Vasco;2021;2.062
Ambos sexos;13 Madrid, Comunidad de;17 Rioja, La;2021;395
Ambos sexos;13 Madrid, Comunidad de;18 Ceuta;2021;320
Ambos sexos;13 Madrid, Comunidad de;19 Melilla;2021;220
Ambos sexos;14 Murcia, Región de;Total Nacional;2021;13.717
Ambos sexos;14 Murcia, Región de;01 Andalucía;2021;2.845
Ambos sexos;14 Murcia, Región de;02 Aragón;2021;268
Ambos sexos;14 Murcia, Región de;03 Asturias, Principado de;2021;133
Ambos sexos;14 Murcia, Región de;04 Balears, Illes;2021;487
Ambos sexos;14 Murcia, Región de;05 Canarias;2021;445
Ambos sexos;14 Murcia, Región de;06 Cantabria;2021;57
Ambos sexos;14 Murcia, Región de;07 Castilla y León;2021;361
Ambos sexos;14 Murcia, Región de;08 Castilla - La Mancha;2021;1.183
Ambos sexos;14 Murcia, Región de;09 Cataluña;2021;1.157
Ambos sexos;14 Murcia, Región de;10 Comunitat Valenciana;2021;3.654
Ambos sexos;14 Murcia, Región de;11 Extremadura;2021;141
Ambos sexos;14 Murcia, Región de;12 Galicia;2021;295
Ambos sexos;14 Murcia, Región de;13 Madrid, Comunidad de;2021;2.082
Ambos sexos;14 Murcia, Región de;14 Murcia, Región de;2021;""
Ambos sexos;14 Murcia, Región de;15 Navarra, Comunidad Foral de;2021;145
Ambos sexos;14 Murcia, Región de;16 País Vasco;2021;237
Ambos sexos;14 Murcia, Región de;17 Rioja, La;2021;56
Ambos sexos;14 Murcia, Región de;18 Ceuta;2021;33
Ambos sexos;14 Murcia, Región de;19 Melilla;2021;138
Ambos sexos;15 Navarra, Comunidad Foral de;Total Nacional;2021;5.942
Ambos sexos;15 Navarra, Comunidad Foral de;01 Andalucía;2021;599
Ambos sexos;15 Navarra, Comunidad Foral de;02 Aragón;2021;589
Ambos sexos;15 Navarra, Comunidad Foral de;03 Asturias, Principado de;2021;86
Ambos sexos;15 Navarra, Comunidad Foral de;04 Balears, Illes;2021;104
Ambos sexos;15 Navarra, Comunidad Foral de;05 Canarias;2021;171
Ambos sexos;15 Navarra, Comunidad Foral de;06 Cantabria;2021;69
Ambos sexos;15 Navarra, Comunidad Foral de;07 Castilla y León;2021;361
Ambos sexos;15 Navarra, Comunidad Foral de;08 Castilla - La Mancha;2021;173
Ambos sexos;15 Navarra, Comunidad Foral de;09 Cataluña;2021;527
Ambos sexos;15 Navarra, Comunidad Foral de;10 Comunitat Valenciana;2021;341
Ambos sexos;15 Navarra, Comunidad Foral de;11 Extremadura;2021;116
Ambos sexos;15 Navarra, Comunidad Foral de;12 Galicia;2021;131
Ambos sexos;15 Navarra, Comunidad Foral de;13 Madrid, Comunidad de;2021;591
Ambos sexos;15 Navarra, Comunidad Foral de;14 Murcia, Región de;2021;190
Ambos sexos;15 Navarra, Comunidad Foral de;15 Navarra, Comunidad Foral de;2021;""
Ambos sexos;15 Navarra, Comunidad Foral de;16 País Vasco;2021;1.222
Ambos sexos;15 Navarra, Comunidad Foral de;17 Rioja, La;2021;630
Ambos sexos;15 Navarra, Comunidad Foral de;18 Ceuta;2021;18
Ambos sexos;15 Navarra, Comunidad Foral de;19 Melilla;2021;24
Ambos sexos;16 País Vasco;Total Nacional;2021;12.644
Ambos sexos;16 País Vasco;01 Andalucía;2021;1.211
Ambos sexos;16 País Vasco;02 Aragón;2021;393
Ambos sexos;16 País Vasco;03 Asturias, Principado de;2021;301
